m100000,27984,18721,7589,6796,28233
m100001,20968,13739,7304,12334,5286
m100002,675,740,1221,1250,706
m100003,44875,13818,17769,50512,30905
m100004,17368,1199,9602,13542,2468
m100005,13600,18637,16198,1284,10470
m100006,9019,13876,9731,12533,6509
m100007,835,5025,1211,2803,360
m100008,1408,737,1078,816,904
m100009,12458,4682,4913,3358,6403
m100010,39473,14251,15795,2117,17732
m100011,4295,1832,4637,2612,2504
m100012,1331,5336,971,1810,3659
m100013,1443001,1443001,1443001,1443001,1443001
m100014,26811,7623,24218,5699,6624
m100015,12940,2088,11055,5651,2788
m100016,11082,11811,1599,3955,5159
m100017,2347,1215,2436,1164,700
m100018,34029,3842,4842,9013,29782
m100019,614,3883,5253,4261,3834
m100020,4592,4825,2476,2199,2495
m100021,27613,50061,14359,38158,12950
m100022,17242,15646,9970,3973,2748
m100023,14799,7333,1804,2934,8981
m100024,760,5324,1093,972,1539
m100025,11803,19579,4214,36511,14494
m100026,80417,42583,142808,70413,54899
m100027,102861,14635,94781,75105,25356
m100028,52544,5160,10329,11350,4000
m100029,18092,3098,4052,865,2859
m100030,5327,19119,6644,15482,38779
m100031,3010,11617,1411,1696,418
m100032,920,3277,1637,2177,1457
m100033,26282,38610,13910,20480,14661
m100034,34017,28154,17687,42810,23267
m100035,7230,7665,10755,9408,4563
m100036,10629,19412,4376,17418,8765
m100037,12070,4139,9440,5378,3096
m100038,2536,4766,2931,8811,7071
m100039,1927,791,1145,1126,2309
m100040,2838,1441,4858,3764,1129
m100041,10342,2380,863,1365,937
m100042,6628,4963,1186,680,6885
m100043,3790,4329,5700,4996,2035
m100044,1215,2046,760,2578,625
m100045,3177,1188,992,972,937
m100046,25693,3650,1191,1130,1478
m100047,1443001,1443001,1443001,1443001,1443001
m100048,3737,6051,2512,2841,16761
m100049,16040,76104,23854,16760,33578
m100050,1150,575,584,425,663
m100051,2389,2403,1015,1159,385
m100052,905,540,1127,625,1656
m100053,8400,31473,12619,6868,4535
m100054,17242,12294,17345,32234,27484
m100055,4237,525,1993,6157,1063
m100056,7736,2352,1019,1747,1170
m100057,1727,2516,567,1793,1976
m100058,8048,5752,9180,3157,2928
m100059,1973,628,2897,2769,1385
m100060,31157,20644,17324,9433,38908
m100061,537,4798,1687,2522,495
m100062,1329,1112,1256,702,1368
m100063,725,7311,11250,2415,6368
m100064,27017,8067,7589,4253,1425
m100065,16716,2889,952,2836,2061
m100066,483,953,2773,1662,835
m100067,7104,5337,5417,5136,16984
m100068,7475,8365,8197,7879,2277
m100069,2478,883,2106,658,835
m100070,2549,1027,2406,1129,385
m100071,19839,49169,12038,28679,14850
m100072,979,957,2239,3751,2945
m100073,1413,2237,3443,3430,1045
m100074,3955,5508,2527,1246,7919
m100075,8265,7118,2902,1834,1934
m100076,1443001,1443001,1443001,1443001,1443001
m100077,16389,27303,10539,8747,5555
m100078,79085,68327,37713,101035,26879
m100079,4283,1405,6935,9118,11640
m100080,4164,3943,16760,2561,29905
m100081,1168,1577,1024,719,932
m100082,7884,2352,2632,4422,2475
m100083,1676,7857,2899,1994,1278
m100084,90689,135390,90850,69556,176616
m100085,11120,2639,5604,4327,6928
m100086,42839,10670,26232,17773,15275
m100087,32278,4288,21236,6659,32647
m100088,25533,22179,40650,31535,10524
m100089,13952,4941,3606,11343,6862
m100090,4445,994,3399,2572,2202
m100091,7191,3847,8426,7617,13780
m100092,7573,4495,3994,4095,7801
m100093,2934,7206,769,4144,1578
m100094,1282,2167,772,2283,1030
m100095,4028,8466,1221,5514,5453
m100096,1495,953,504,810,1006
m100097,1828,808,9276,1423,2105
m100098,6617,6191,1266,2949,1662
m100099,3368,4011,9165,16010,3063
m100100,16743,23382,7007,4058,3506
m100101,48598,38879,36061,22742,24627
m100102,6766,789,3580,4208,3462
m100103,7178,10414,3139,8612,905
m100104,21488,12919,12322,9177,23504
m100105,1443001,1443001,1443001,1443001,1443001
m100106,40623,30993,12613,36011,22569
m100107,6058,12081,1422,4706,6269
m100108,34184,84772,12085,5265,5055
m100109,11068,19754,3695,1370,4950
m100110,361,953,2276,2201,1206
m100111,1334,4283,1324,1883,3846
m100112,869,2202,728,4089,866
m100113,21073,63963,27215,24214,27092
m100114,1443001,1443001,1443001,1443001,1443001
m100115,4108,29112,19662,18595,11652
m100116,13530,10819,9281,7068,15517
m100117,62023,45923,52809,21198,138244
m100118,483,555,570,648,1265
m100119,1833,2035,663,650,446
m100120,2512,7068,4641,16448,10940
m100121,183403,57448,198609,148653,161815
m100122,1236,1459,407,680,952
m100123,5255,11979,17163,29010,28109
m100124,13549,6609,769,1610,1289
m100125,867,2593,563,1175,698
m100126,890,467,582,383,488
m100127,43388,12011,24348,3514,23182
m100128,3550,7402,1359,5969,27058
m100129,86488,49427,29077,121167,31432
m100130,14799,10553,4612,4712,21428
m100131,2179,6968,1105,1741,8380
m100132,16317,23610,10090,11477,5928
m100133,2443,4262,1131,3979,462
m100134,18923,27166,57388,41303,11841
m100135,7195,22246,7430,7708,4037
m100136,3891,6335,1557,2778,1920
m100137,13287,25735,40576,20500,43526
m100138,515,791,6021,2730,3780
m100139,138299,71505,99817,54628,62488
m100140,483,424,909,1186,685
m100141,7030,39213,36191,7447,24532
m100142,12395,6430,2697,6399,3461
m100143,3525,1777,760,873,525
m100144,8078,2088,1221,5140,1245
m100145,47988,39373,68935,73228,31463
m100146,1980,1113,1831,871,835
m100147,1152,833,1146,4081,521
m100148,1443001,1443001,1443001,1443001,1443001
m100149,7186,3862,931,1550,1233
m100150,2416,5967,885,3063,5448
m100151,828,2367,1822,732,1981
m100152,13510,10431,3150,2561,11339
m100153,2838,2861,2736,1820,1233
m100154,2507,3129,2161,781,798
m100155,20247,38427,18347,16630,53816
m100156,90425,16118,36969,68049,104169
m100157,3537,6944,1019,722,1435
m100158,85998,25983,53625,42221,54987
m100159,15528,3047,4118,4201,1160
m100160,6457,5842,1834,929,2755
m100161,1752,10466,21828,3909,39485
m100162,940,1577,1941,616,1377
m100163,585,2898,1406,4239,785
m100164,3407,4930,1127,2203,1321
m100165,27568,6049,33893,27301,7241
m100166,306,791,1404,2528,622
m100167,2036,371,747,1509,505
m100168,62311,74898,62854,94864,84003
m100169,415,1165,923,842,553
m100170,4689,1841,783,1677,2165
m100171,557,1399,740,795,2289
m100172,3003,767,1216,781,957
m100173,1324,11455,6940,5808,5595
m100174,708,2084,779,680,343
m100175,8394,15218,7286,3836,7930
m100176,6163,21942,1548,3316,2886
m100177,9120,32517,5935,8152,56158
m100178,54110,13000,17613,32963,36973
m100179,19350,38482,13364,60692,14232
m100180,2583,808,708,4278,1030
m100181,2797,833,2406,1712,1325
m100182,33085,66234,28149,75754,167507
m100183,5162,8815,1519,7908,35317
m100184,621,5387,2603,1753,456
m100185,1292,767,2517,515,705
m100186,4356,2453,7193,4705,13686
m100187,1152,1859,552,1296,1356
m100188,1984,13479,6063,17921,1340
m100189,3195,22201,5519,3226,5856
m100190,33085,66234,28149,75754,167507
m100191,7902,2990,12300,19853,15602
m100192,11693,3124,1119,2179,1541
m100193,21841,19959,46136,5494,25984
m100194,7465,2738,7309,1855,1265
m100195,15627,7333,3352,3063,9346
m100196,5418,7259,9911,6058,14053
m100197,1790,786,1227,1034,2762
m100198,27706,7861,15152,3286,11292
m100199,3574,2423,2331,8863,2060
m100200,7501,10242,7185,5033,23591
m100201,8914,5153,6239,2921,1780
m100202,48585,39155,36482,119776,110074
m100203,2214,1778,2768,1508,1125
m100204,10509,1610,3242,9812,4958
m100205,80334,39955,35120,65628,54400
m100206,1364,1795,5488,955,554
m100207,11535,5122,11617,5592,8310
m100208,14608,3731,1989,3577,3234
m100209,12463,11474,33060,15083,18920
m100210,10184,31574,22018,10730,36909
m100211,12359,5517,32609,10236,4423
m100212,3537,3801,632,2667,4116
m100213,16360,1608,4021,4589,2373
m100214,17156,29975,5102,17439,30550
m100215,8699,17466,2019,3097,6427
m100216,51543,7442,40427,5610,28946
m100217,7960,7290,3167,3144,877
m100218,26113,14572,104290,65487,30653
m100219,560,5055,4264,4141,2903
m100220,66339,36551,69710,42277,57175
m100221,13989,13493,1067,2911,1170
m100222,685,5921,1584,3199,2084
m100223,15336,10461,1297,1506,8120
m100224,32968,76898,24171,32497,24910
m100225,7987,13507,2167,5546,3962
m100226,14021,9065,3107,1599,3201
m100227,85420,128950,29134,39502,14822
m100228,1982,1761,313,1545,1018
m100229,4220,1697,1024,2164,2566
m100230,680,1452,3954,3477,622
m100231,22944,12436,13283,44143,10787
m100232,1101,4129,2681,1013,360
m100233,36608,7908,8901,2827,6470
m100234,34866,49596,76994,90363,23000
m100235,1868,573,1907,1366,2164
m100236,6636,18024,5119,26134,5887
m100237,47988,39373,68935,73228,31463
m100238,4373,26983,6357,11408,11436
m100239,4412,2093,828,498,562
m100240,20491,39102,58655,42810,11841
m100241,3652,11527,20254,15177,12416
m100242,5394,5080,2890,2156,5132
m100243,569,1385,5913,5524,12526
m100244,361,1158,1324,2592,2592
m100245,6215,2608,3154,3439,4895
m100246,2024,6061,4447,3771,1561
m100247,2402,6079,12107,20908,9229
